"Pitcher","MLBAM_ID","Year","# of total pitches","Total Edge%","Top Edge%","Bottom Edge%","Horizontal Edge%","Heart%","Out of Zone%"
"Brayan Villarreal",5180,"2013",133,0.1504,0.0301,0.0526,0.0677,0.2256,0.5414
"Chang-Yong Lim",14445,"2013",123,0.1951,0.0081,0.0894,0.0976,0.1951,0.5122
"Pedro Villarreal",9904,"2013",122,0.123,0.0246,0.0574,0.041,0.2623,0.5328
"Eduardo Sanchez",2966,"2013",121,0.1736,0.0331,0.0496,0.0909,0.2397,0.5041
"Zac Rosscup",9419,"2013",118,0.1102,0.0339,0.0254,0.0508,0.1864,0.6441
"Dellin Betances",6216,"2013",117,0.1966,0.0085,0.0598,0.1282,0.2393,0.4957
"Ryan Brasier",5615,"2013",115,0.1391,0.0435,0.1043,-0.0087,0.2522,0.4609
"Mauricio Robles",8895,"2013",115,0.2087,0.0174,0.0609,0.1304,0.1739,0.5391
"Jose Contreras",1660,"2013",114,0.114,0.0175,0.0702,0.0263,0.1404,0.6579
"Alberto Cabrera",8352,"2013",113,0.1504,0.0265,0.0531,0.0708,0.2212,0.5487
"Ramon Ramirez",7986,"2013",112,0.1607,0.0446,0.0357,0.0804,0.1339,0.625
"Octavio Dotel",555,"2013",112,0.2411,0.0357,0.0625,0.1429,0.2232,0.4375
"Nick Maronde",12530,"2013",111,0.1622,0.009,0.0541,0.0991,0.2162,0.5586
"Jair Jurrjens",5556,"2013",109,0.1835,0.055,0.055,0.0734,0.2844,0.422
"Stephen Pryor",10663,"2013",108,0.1852,0.0648,0.037,0.0833,0.2778,0.4352
"Frank Francisco",1933,"2013",108,0.1389,0.0278,0.0278,0.0833,0.1667,0.6389
"Neftali Feliz",18,"2013",107,0.1963,0.0374,0.0187,0.1402,0.2897,0.4579
"Preston Guilmet",7303,"2013",99,0.1212,0.0303,0.0606,0.0303,0.2323,0.5556
"Charles Brewer",9155,"2013",97,0.1753,0.0619,0.0412,0.0722,0.2165,0.5052
"Francisley Bueno",5980,"2013",97,0.1546,0.0309,0.0825,0.0412,0.2165,0.5155
"Matt Shoemaker",4776,"2013",93,0.086,0.0323,0.0753,-0.0215,0.1828,0.6237
"Donnie Joseph",6491,"2013",93,0.129,0.0108,0.0645,0.0538,0.172,0.6237
"Phil Irwin",9489,"2013",93,0.1828,0.0215,0.086,0.0753,0.2151,0.4946
"Simon Castro",9243,"2013",92,0.1848,0.0435,0.0435,0.0978,0.25,0.4783
"Luis Perez",6389,"2013",85,0.1882,0.0706,0.0588,0.0588,0.3059,0.3765
"Chris Leroux",7645,"2013",84,0.119,0.0119,0.0714,0.0357,0.2143,0.5833
"C.C. Lee",5177,"2013",84,0.2024,0.0357,0.0476,0.119,0.2024,0.5119
"Matt Daley",7952,"2013",83,0.1325,0.1205,0.0361,-0.0241,0.3012,0.4096
"Pedro Figueroa",6616,"2013",82,0.2073,0.0488,0.0488,0.1098,0.2561,0.439
"David Holmberg",7725,"2013",80,0.1625,0.025,0.0375,0.1,0.2875,0.4875
"Tim Byrdak",1995,"2013",80,0.2125,0.075,0.0625,0.075,0.175,0.475
"Hideki Okajima",7763,"2013",79,0.1519,0.0127,0.0506,0.0886,0.2278,0.557
"Steven Ames",9615,"2013",76,0.1184,0.0526,0.0658,0,0.3684,0.3947
"Edgar Olmos",10174,"2013",76,0.1447,0.0789,0.0395,0.0263,0.2763,0.4605
"Rafael Dolis",4185,"2013",75,0.2133,0.0267,0.1067,0.08,0.2933,0.36
"Mickey Storey",4721,"2013",73,0.1781,0.0548,0.0411,0.0822,0.2603,0.4658
"Enny Romero",4001,"2013",70,0.1714,0.0286,0.0571,0.0857,0.2143,0.5286
"Zach Putnam",9080,"2013",70,0.1286,0.0143,0.0429,0.0714,0.3,0.5143
"Joe Martinez",3935,"2013",66,0.1515,0.0606,0.1061,-0.0152,0.2121,0.4697
"Victor Marte",5158,"2013",64,0.1719,0.0469,0.125,0,0.0938,0.5625
"Duane Below",3124,"2013",62,0.1129,0.0645,0.0161,0.0323,0.2258,0.5806
"Kyle Drabek",4359,"2013",62,0.1129,0.0323,0.0806,0,0.1129,0.6613
"Maikel Cleto",5529,"2013",59,0.1017,0.0339,0.0169,0.0508,0.1186,0.7288
"Sean Henn",2147,"2013",57,0.1228,0.0526,0.0702,0,0.1404,0.614
"Hisanori Takahashi",10091,"2013",56,0.1964,0,0.0536,0.1429,0.1607,0.5893
"Casper Wells",9700,"2013",56,0.1071,0.0357,0.0179,0.0536,0.2321,0.6071
"Eric Surkamp",2540,"2013",56,0.2143,0,0.0893,0.125,0.25,0.4464
"Nick Christiani",10332,"2013",55,0.1455,0.0182,0.0545,0.0727,0.2909,0.4909
"Cesar Cabral",6741,"2013",55,0.1636,0.0182,0.0364,0.1091,0.2364,0.5455
"Jairo Asencio",3332,"2013",54,0.1667,0.0556,0.037,0.0741,0.1667,0.5741
"Dave Bush",4635,"2013",51,0.1961,0.0392,0.0392,0.1176,0.2745,0.451
"Alex Burnett",4065,"2013",51,0.1373,0,0.0392,0.098,0.3137,0.5098
"Skip Schumaker",3704,"2013",49,0.1429,0.0204,0.0204,0.102,0.2653,0.551
"Chris Dwyer",10045,"2013",46,0.1739,0.0217,0.0652,0.087,0.1304,0.6087
"Onelki Garcia",13674,"2013",45,0.1111,0.0444,0.0667,0,0.2667,0.5111
"Zach Phillips",99,"2013",42,0.2143,0.0238,0.0238,0.1667,0.2619,0.4762
"Blake Wood",1345,"2013",42,0.0476,0.0238,0.0238,0,0.2619,0.6429
"Jim Miller",7458,"2013",41,0.0976,0.0732,0.0244,0,0.2195,0.5854
"Joe Paterson",2565,"2013",38,0.2368,0,0.0789,0.1579,0.2368,0.4474
"Cristhian Martinez",5337,"2013",37,0.1622,0.0541,0.1081,0,0.2973,0.3784
"Josh Tomlin",9388,"2013",36,0.1389,0.0278,0.0556,0.0556,0.3333,0.4444
"Zach Clark",9189,"2013",36,0.1389,0.0556,0.0556,0.0278,0.2778,0.4722
"Justin Germano",1938,"2013",35,0.2571,0.0286,0.0857,0.1429,0.2286,0.4
"Sean Nolin",11341,"2013",35,0.2571,0.0286,0.0286,0.2,0.2,0.4857
"Chris Narveson",2141,"2013",35,0.1143,0.0857,0.1143,-0.0857,0.0571,0.6286
"Michael Belfiore",9324,"2013",34,0.2059,0.0294,0,0.1765,0.2941,0.4706
"Daniel Stange",9404,"2013",33,0.2424,0.0303,0.0909,0.1212,0.1515,0.4848
"Clay Rapada",4831,"2013",31,0.2581,0,0.0645,0.1935,0.2903,0.3871
"Cody Eppley",9095,"2013",31,0.2258,0,0.0968,0.129,0.1935,0.4839
"Miles Mikolas",9803,"2013",30,0.1333,0,0.1,0.0333,0.2,0.5667
"Chris Bootcheck",1842,"2013",30,0.1667,0,0.0333,0.1333,0.1,0.7
"Wilmer Font",5257,"2013",28,0.1786,0.0357,0,0.1429,0.1786,0.6071
"Daniel Bard",7115,"2013",27,0.0741,0.1481,0.037,-0.1111,0.1111,0.6296
"David Murphy",6035,"2013",20,0.05,0.1,0,-0.05,0.2,0.65
"Duke Welker",792,"2013",20,0.15,0.1,0,0.05,0.25,0.5
"David Carpenter",9244,"2013",19,0,0.0526,0.0526,-0.1053,0.2632,0.6316
"Justin Freeman",7568,"2013",16,0.0625,0.0625,0.1875,-0.1875,0.25,0.4375
"Anthony Recker",4063,"2013",16,0.1875,0.125,0,0.0625,0.0625,0.625
"Yunesky Maya",11420,"2013",14,0.2143,0,0.1429,0.0714,0.1429,0.5
"Tyler Robertson",3223,"2013",13,0.1538,0,0.0769,0.0769,0.2308,0.5385
"Everett Teaford",3732,"2013",13,0.0769,0,0,0.0769,0.3077,0.6154
"Ryan Raburn",2218,"2013",13,0.0769,0.2308,0,-0.1538,0.2308,0.4615
"Logan Kensing",6166,"2013",12,0,0.0833,0,-0.0833,0.25,0.6667
"John McDonald",395,"2013",12,0.25,0,0,0.25,0.25,0.5
"Jeff Beliveau",8504,"2013",11,0.0909,0.0909,0,0,0.2727,0.5455
"Jake Elmore",7290,"2013",11,0,0,0.1818,-0.1818,0.2727,0.5455
"Shawn Tolleson",10481,"2013",11,0.0909,0,0,0.0909,0.0909,0.8182
"Jamey Carroll",1591,"2013",9,0.4444,0,0,0.4444,0.1111,0.4444
"Sam Fuld",8254,"2013",5,0,0,0.2,-0.2,0.2,0.6
"Alberto Gonzalez",4906,"2013",5,0,0.2,0,-0.2,0.2,0.6
"Josh Harrison",8202,"2013",4,0.25,0.25,0,0,0.25,0.25
"Rob Johnson",8029,"2013",4,0.25,0,0,0.25,0.25,0.5
"Justin Verlander",8700,"2012",3767,0.1858,0.0364,0.0637,0.0857,0.2317,0.4823
"James Shields",7059,"2012",3616,0.1659,0.023,0.0672,0.0758,0.1925,0.5514
"Jake Peavy",1051,"2012",3486,0.1753,0.0399,0.0557,0.0797,0.2229,0.5063
"Yovani Gallardo",8173,"2012",3477,0.1527,0.0311,0.063,0.0587,0.2059,0.5473
"Clayton Kershaw",2036,"2012",3459,0.1856,0.052,0.0497,0.0838,0.216,0.4967
"Johnny Cueto",6893,"2012",3446,0.1628,0.0398,0.0525,0.0705,0.2153,0.5296
"C.J. Wilson",3580,"2012",3429,0.1697,0.0332,0.0662,0.0703,0.2365,0.4943
"Justin Masterson",2038,"2012",3422,0.194,0.0339,0.0669,0.0932,0.2285,0.4766
"Jon Lester",4930,"2012",3420,0.1708,0.0251,0.067,0.0787,0.1877,0.5494
"Zack Greinke",1943,"2012",3381,0.1432,0.021,0.0781,0.0441,0.2085,0.5492
"Ian Kennedy",6986,"2012",3380,0.1757,0.047,0.0553,0.0734,0.2396,0.4822
"R.A. Dickey",1245,"2012",3355,0.1768,0.0498,0.0519,0.0751,0.2551,0.4665
"Matt Cain",4732,"2012",3342,0.1697,0.0461,0.0503,0.0733,0.2409,0.4931
"Homer Bailey",8362,"2012",3331,0.1777,0.0279,0.0618,0.088,0.2246,0.508
"Hiroki Kuroda",3283,"2012",3327,0.1776,0.0274,0.0568,0.0935,0.2035,0.5347
"David Price",3184,"2012",3322,0.2026,0.0295,0.0638,0.1093,0.2321,0.472
"Felix Hernandez",4772,"2012",3313,0.1742,0.0338,0.0601,0.0803,0.23,0.502
"Cole Hamels",4972,"2012",3296,0.1787,0.0334,0.0637,0.0816,0.2087,0.5155
"Tim Lincecum",5705,"2012",3286,0.1455,0.0399,0.0563,0.0493,0.2103,0.5481
"Max Scherzer",3137,"2012",3272,0.1956,0.0214,0.07,0.1042,0.2298,0.4832
"Jason Vargas",8044,"2012",3269,0.1906,0.0211,0.0603,0.1092,0.2248,0.5032
"Mat Latos",3815,"2012",3267,0.1766,0.0462,0.0557,0.0747,0.2179,0.5035
"Madison Bumgarner",5524,"2012",3265,0.1908,0.0447,0.0505,0.0956,0.2331,0.4809
"Matt Harrison",5551,"2012",3243,0.1764,0.0373,0.0632,0.0759,0.235,0.4881
"Phil Hughes",7450,"2012",3218,0.1768,0.0534,0.0447,0.0786,0.238,0.4869
"Edinson Volquez",3990,"2012",3202,0.1393,0.0312,0.065,0.0431,0.2214,0.5431
"Wandy Rodriguez",2586,"2012",3199,0.176,0.0438,0.065,0.0672,0.2313,0.4839
"Gio Gonzalez",7448,"2012",3197,0.162,0.0297,0.0607,0.0716,0.2143,0.5333
"Bruce Chen",769,"2012",3193,0.1954,0.0413,0.0542,0.0999,0.2368,0.4723
"Lucas Harrell",7541,"2012",3178,0.1907,0.0261,0.0642,0.1004,0.2086,0.5104
"Trevor Cahill",6249,"2012",3169,0.1505,0.0284,0.0634,0.0587,0.2023,0.5554
"Clayton Richard",3551,"2012",3164,0.1884,0.0278,0.0781,0.0825,0.2399,0.4659
"Yu Darvish",13074,"2012",3164,0.1666,0.0313,0.0575,0.0777,0.2212,0.5234
"Wei-Yin Chen",13071,"2012",3137,0.169,0.051,0.0583,0.0596,0.2499,0.4718
"Kyle Lohse",739,"2012",3125,0.1901,0.0243,0.0698,0.096,0.2253,0.4906
"Ubaldo Jimenez",3374,"2012",3106,0.1465,0.0415,0.0608,0.0441,0.236,0.5151
"Aaron Harang",1451,"2012",3096,0.1557,0.052,0.0452,0.0585,0.2264,0.5207
"Adam Wainwright",2233,"2012",3088,0.182,0.0288,0.0625,0.0907,0.2163,0.5104
"Jordan Zimmermann",4505,"2012",3088,0.2011,0.0457,0.0541,0.1014,0.2461,0.453
"Cliff Lee",1636,"2012",3087,0.2076,0.0428,0.0573,0.1075,0.2711,0.4211
"Ricky Romero",3403,"2012",3060,0.1588,0.0373,0.0614,0.0601,0.2052,0.5373
"Mark Buehrle",225,"2012",3059,0.1821,0.0343,0.0621,0.0856,0.2073,0.5142
"Barry Zito",944,"2012",3058,0.1632,0.0481,0.0468,0.0683,0.2289,0.5131
"Anibal Sanchez",3284,"2012",3054,0.1722,0.0508,0.0494,0.072,0.2492,0.4784
"Ryan Vogelsong",1011,"2012",3054,0.1863,0.0393,0.053,0.094,0.2073,0.5141
"A.J. Burnett",512,"2012",3038,0.1889,0.0395,0.0517,0.0978,0.2304,0.4895
"Tommy Milone",7608,"2012",3033,0.1827,0.0244,0.0709,0.0874,0.2011,0.5209
"Josh Johnson",4567,"2012",3031,0.1719,0.0172,0.069,0.0858,0.1851,0.5569
"Jon Niese",4424,"2012",3026,0.1811,0.038,0.0588,0.0843,0.2462,0.4759
"Matt Moore",1890,"2012",3023,0.1776,0.0377,0.0556,0.0844,0.2292,0.4998
"CC Sabathia",404,"2012",3020,0.1679,0.0275,0.0715,0.0689,0.2116,0.5215
"Chris Sale",10603,"2012",3010,0.1724,0.0372,0.0605,0.0748,0.2462,0.4837
"Luke Hochevar",6943,"2012",3007,0.1769,0.0369,0.0602,0.0798,0.2351,0.4909
"Lance Lynn",2520,"2012",3000,0.1707,0.0323,0.0553,0.083,0.2283,0.5133
"Wade Miley",8779,"2012",2999,0.1631,0.029,0.069,0.065,0.2217,0.5172
"Jeremy Hellickson",4371,"2012",2993,0.1737,0.0217,0.0675,0.0845,0.1714,0.5657
"Paul Maholm",8678,"2012",2970,0.165,0.0219,0.0741,0.069,0.2158,0.5232
"Chris Capuano",1701,"2012",2966,0.174,0.0324,0.0695,0.0722,0.2471,0.4771
"Edwin Jackson",1841,"2012",2966,0.1537,0.0303,0.0664,0.057,0.1955,0.5539
"Ricky Nolasco",3830,"2012",2958,0.1633,0.0429,0.0642,0.0561,0.2444,0.4851
"Bronson Arroyo",978,"2012",2953,0.1852,0.0437,0.0501,0.0914,0.2404,0.4805
"Joe Blanton",4849,"2012",2924,0.1802,0.0294,0.0653,0.0855,0.2336,0.4915
"Tommy Hanson",9129,"2012",2912,0.1508,0.0412,0.0618,0.0477,0.2126,0.5337
"Clay Buchholz",3543,"2012",2896,0.1865,0.0373,0.0604,0.0887,0.2106,0.5052
"Jeremy Guthrie",2072,"2012",2884,0.1872,0.0305,0.0669,0.0898,0.2053,0.5101
"Mike Minor",10021,"2012",2863,0.1757,0.0356,0.0465,0.0936,0.2218,0.5204
"Felix Doubront",1478,"2012",2863,0.1767,0.0297,0.066,0.081,0.2075,0.5201
"Jered Weaver",4235,"2012",2857,0.1635,0.0413,0.0581,0.0641,0.2223,0.5149
"Henderson Alvarez",5669,"2012",2857,0.1859,0.0287,0.0756,0.0816,0.2604,0.4494
"Ervin Santana",3200,"2012",2856,0.152,0.0305,0.0735,0.048,0.2304,0.5137
"Dan Haren",1757,"2012",2848,0.177,0.0323,0.0593,0.0853,0.2058,0.5256
"Jarrod Parker",4913,"2012",2828,0.1623,0.0368,0.0598,0.0658,0.2051,0.5361
"Rick Porcello",2717,"2012",2827,0.1694,0.0329,0.0633,0.0732,0.2165,0.5179
"Bud Norris",9492,"2012",2814,0.1645,0.0402,0.0689,0.0554,0.2139,0.5124
"James McDonald",5523,"2012",2797,0.1519,0.0479,0.0597,0.0443,0.2406,0.4998
"Jeff Samardzija",3254,"2012",2764,0.1671,0.0376,0.059,0.0705,0.2366,0.4996
"Gavin Floyd",3886,"2012",2758,0.1559,0.037,0.0486,0.0703,0.2397,0.5189
"Derek Holland",4141,"2012",2755,0.2091,0.049,0.0526,0.1074,0.2287,0.4606
"Ryan Dempster",517,"2012",2748,0.1481,0.0422,0.0673,0.0386,0.2234,0.5189
"Francisco Liriano",3201,"2012",2715,0.1488,0.0262,0.0674,0.0552,0.1867,0.5709
"Mike Leake",10130,"2012",2713,0.1942,0.0236,0.0693,0.1014,0.199,0.5138
"Joe Saunders",4366,"2012",2709,0.1613,0.0277,0.0664,0.0672,0.206,0.5386
"Randy Wolf",976,"2012",2708,0.1773,0.0399,0.0606,0.0768,0.2227,0.4996
"Ivan Nova",1994,"2012",2687,0.1626,0.0372,0.054,0.0715,0.2345,0.5117
"Jake Westbrook",412,"2012",2675,0.1581,0.0191,0.0822,0.0568,0.1978,0.5428
"Tim Hudson",921,"2012",2621,0.1618,0.0279,0.0744,0.0595,0.2251,0.5109
"Josh Beckett",510,"2012",2616,0.1774,0.0382,0.0531,0.086,0.2431,0.4881
"Stephen Strasburg",10131,"2012",2598,0.1632,0.0296,0.0593,0.0743,0.209,0.5389
"Kevin Millwood",106,"2012",2586,0.1794,0.0599,0.0363,0.0831,0.239,0.4853
"Ross Detwiler",2859,"2012",2541,0.1865,0.0386,0.0657,0.0823,0.2192,0.49
"J.A. Happ",7410,"2012",2536,0.1569,0.0465,0.0619,0.0485,0.2394,0.4953
"Luis Mendoza",3126,"2012",2531,0.177,0.0332,0.049,0.0948,0.1762,0.5646
"Scott Diamond",5089,"2012",2518,0.1692,0.0274,0.0675,0.0743,0.2438,0.4921
"Doug Fister",9425,"2012",2515,0.1913,0.0302,0.062,0.099,0.2338,0.4827
"Kyle Kendrick",6230,"2012",2510,0.1841,0.0247,0.061,0.0984,0.2096,0.5207
"Travis Wood",9884,"2012",2497,0.1898,0.0364,0.0513,0.1021,0.2415,0.481
"Kevin Correia",1767,"2012",2496,0.1679,0.0429,0.0593,0.0657,0.246,0.484
"Roy Halladay",1303,"2012",2387,0.1935,0.0218,0.0771,0.0947,0.2007,0.5069
"Chad Billingsley",5842,"2012",2378,0.1724,0.0395,0.0488,0.0841,0.2355,0.5038
"Jordan Lyles",7593,"2012",2362,0.1749,0.0415,0.0555,0.0779,0.2146,0.5135
"Derek Lowe",199,"2012",2337,0.1609,0.0154,0.0903,0.0552,0.196,0.5374
"Blake Beavan",338,"2012",2296,0.2173,0.0457,0.0592,0.1124,0.2513,0.4264
"Carlos Zambrano",305,"2012",2292,0.1811,0.0288,0.0615,0.0908,0.2024,0.5262
"Marco Estrada",1118,"2012",2246,0.1487,0.0307,0.0744,0.0436,0.2444,0.5018
"Vance Worley",6435,"2012",2173,0.1951,0.0359,0.0488,0.1104,0.2121,0.5081
"Alex Cobb",6562,"2012",2169,0.1752,0.0323,0.0581,0.0848,0.2181,0.5164
"Jose Quintana",11423,"2012",2165,0.1686,0.0305,0.0674,0.0707,0.2374,0.4961
"Mike Fiers",7754,"2012",2150,0.1553,0.0442,0.0628,0.0484,0.2405,0.4972
"Erik Bedard",126,"2012",2127,0.1843,0.0451,0.055,0.0842,0.2323,0.4833
"Zach McAllister",2895,"2012",2119,0.1699,0.0453,0.0576,0.067,0.2728,0.4545
"Scott Feldman",6283,"2012",2099,0.1868,0.0319,0.0724,0.0824,0.2096,0.4993
"Tommy Hunter",1157,"2012",2079,0.1813,0.0659,0.0467,0.0688,0.2559,0.4502
"Shaun Marcum",6204,"2012",2069,0.1556,0.0184,0.071,0.0662,0.2141,0.5408
"Nathan Eovaldi",9132,"2012",2064,0.1919,0.0392,0.0543,0.0984,0.2403,0.4743
"Bartolo Colon",375,"2012",2053,0.1997,0.0438,0.0546,0.1013,0.3117,0.3902
"Jason Marquis",105,"2012",2043,0.1718,0.0162,0.0827,0.0729,0.1831,0.5463
"Jerome Williams",1137,"2012",2032,0.1786,0.0207,0.0684,0.0896,0.1993,0.533
"Carlos Villanueva",4138,"2012",2014,0.1579,0.0372,0.0581,0.0626,0.2239,0.5228
"Brandon Morrow",9346,"2012",1961,0.1606,0.0449,0.0709,0.0449,0.2427,0.4809
"Jake Arrieta",4153,"2012",1954,0.1766,0.0399,0.0578,0.0788,0.2288,0.4969
"Johan Santana",755,"2012",1939,0.1563,0.0304,0.0542,0.0717,0.2145,0.5446
"Jason Hammel",4538,"2012",1918,0.1601,0.0464,0.0652,0.0485,0.2242,0.5042
"Hisashi Iwakuma",13048,"2012",1916,0.1701,0.0344,0.0574,0.0783,0.2406,0.4974
"Chris Volstad",9901,"2012",1889,0.1535,0.0222,0.0725,0.0588,0.208,0.5437
"Kris Medlen",9417,"2012",1884,0.1661,0.0356,0.0796,0.051,0.2367,0.482
"Jeff Francis",4684,"2012",1853,0.157,0.021,0.0712,0.0648,0.2121,0.5386
"Chris Young",3196,"2012",1842,0.145,0.0744,0.0407,0.0299,0.2324,0.5076
"Alex White",10054,"2012",1791,0.1619,0.024,0.0637,0.0743,0.1848,0.5656
"Freddy Garcia",1077,"2012",1766,0.1489,0.034,0.0634,0.0515,0.2022,0.5515
"Philip Humber",8586,"2012",1762,0.1663,0.0426,0.0488,0.0749,0.2611,0.4813
"Jaime Garcia",8137,"2012",1757,0.1565,0.0205,0.0808,0.0552,0.2316,0.5105
"Drew Smyly",11760,"2012",1748,0.1699,0.0458,0.0503,0.0738,0.2323,0.5017
"Dillon Gee",7396,"2012",1747,0.1843,0.0332,0.0504,0.1007,0.2026,0.5295
"Brian Duensing",4064,"2012",1709,0.1796,0.0334,0.0778,0.0685,0.227,0.4822
"Brian Matusz",2646,"2012",1702,0.1686,0.0623,0.0552,0.0511,0.2568,0.4571
"Hector Noesi",3292,"2012",1702,0.1698,0.0505,0.064,0.0552,0.2315,0.4841
"Drew Pomeranz",11426,"2012",1700,0.1812,0.0512,0.0412,0.0888,0.22,0.5065
"Matt Garza",3340,"2012",1697,0.2039,0.0342,0.0583,0.1114,0.1956,0.508
"Joe Kelly",9761,"2012",1691,0.181,0.0278,0.0585,0.0946,0.2206,0.5121
"Miguel Gonzalez",7024,"2012",1685,0.1774,0.0338,0.0493,0.0944,0.2439,0.4955
"David Phelps",6316,"2012",1675,0.1922,0.0287,0.0531,0.1104,0.2006,0.5254
"Travis Blackley",3234,"2012",1661,0.1644,0.0265,0.0734,0.0644,0.2017,0.534
"Colby Lewis",1259,"2012",1627,0.1887,0.0344,0.0731,0.0811,0.2415,0.4622
"Randall Delgado",5985,"2012",1616,0.1436,0.0167,0.0569,0.0699,0.1788,0.604
"Nick Blackburn",4270,"2012",1616,0.1875,0.0198,0.0705,0.0972,0.2327,0.4895
"Josh Tomlin",9388,"2012",1609,0.161,0.0273,0.0578,0.0758,0.2387,0.5152
"Patrick Corbin",9323,"2012",1596,0.1823,0.0363,0.0639,0.0821,0.2325,0.485
"Brandon McCarthy",4662,"2012",1570,0.1962,0.0401,0.0618,0.0943,0.258,0.4439
"Aaron Laffey",6248,"2012",1556,0.1902,0.036,0.0643,0.09,0.2159,0.4936
"Anthony Bass",7982,"2012",1523,0.1399,0.0302,0.0689,0.0407,0.2416,0.5194
"Eric Stults",8011,"2012",1519,0.1652,0.0388,0.0619,0.0645,0.2107,0.5234
"Jeremy Hefner",1989,"2012",1508,0.1625,0.0365,0.0763,0.0497,0.2235,0.5013
"Josh Collmenter",7312,"2012",1498,0.1883,0.0327,0.0587,0.0968,0.225,0.4953
"Cole DeVries",8201,"2012",1470,0.1483,0.0374,0.0667,0.0442,0.249,0.4986
"Liam Hendriks",3548,"2012",1462,0.197,0.0321,0.0677,0.0971,0.2305,0.4726
"Esmil Rogers",6317,"2012",1460,0.1568,0.0479,0.0548,0.0541,0.25,0.4904
"Jeanmar Gomez",9033,"2012",1460,0.1582,0.0315,0.0637,0.063,0.25,0.4966
"Anthony Swarzak",7466,"2012",1459,0.2008,0.0391,0.0541,0.1076,0.2132,0.4928
"Josh Roenicke",3241,"2012",1444,0.1489,0.0325,0.0686,0.0478,0.1967,0.5533
"Chris Tillman",5279,"2012",1431,0.1509,0.0489,0.0538,0.0482,0.2348,0.5115
"A.J. Griffin",11132,"2012",1419,0.1607,0.043,0.0479,0.0698,0.2474,0.5011
"Alfredo Aceves",5164,"2012",1419,0.2234,0.0437,0.0472,0.1325,0.2121,0.4736
"Will Smith",8048,"2012",1409,0.159,0.0376,0.0745,0.0468,0.2385,0.4904
"John Axford",9059,"2012",1402,0.1633,0.0449,0.0449,0.0735,0.2147,0.5321
"Christian Friedrich",7942,"2012",1392,0.1818,0.0431,0.0575,0.0812,0.222,0.4957
"Dallas Keuchel",9434,"2012",1386,0.1623,0.0238,0.0584,0.0801,0.1905,0.5649
"Craig Stammen",7274,"2012",1378,0.1459,0.0225,0.0718,0.0515,0.1967,0.5631
"Hector Santiago",4026,"2012",1362,0.2078,0.0485,0.0411,0.1182,0.2386,0.464
"Aaron Cook",1571,"2012",1352,0.182,0.0296,0.0799,0.0725,0.2507,0.4578
"Adam Ottavino",1247,"2012",1349,0.1712,0.0415,0.0608,0.0689,0.2483,0.4781
"Jonathan Sanchez",7507,"2012",1339,0.168,0.0388,0.0441,0.0851,0.2233,0.5258
"Franklin Morales",5088,"2012",1337,0.1675,0.0396,0.0561,0.0718,0.2251,0.5116
"Samuel Deduno",5285,"2012",1335,0.161,0.0337,0.0629,0.0644,0.2307,0.5116
"Brandon Beachy",8851,"2012",1331,0.1533,0.0541,0.0571,0.0421,0.2464,0.4891
"Brad Lincoln",4241,"2012",1324,0.2062,0.0393,0.0536,0.1133,0.2696,0.4313
"Jeff Karstens",5879,"2012",1312,0.1608,0.0457,0.0739,0.0412,0.2569,0.4627
"Kyle Drabek",4359,"2012",1303,0.1243,0.0161,0.056,0.0522,0.1665,0.637
"Jose Veras",2063,"2012",1301,0.166,0.0331,0.0699,0.063,0.2022,0.5288
"Kelvin Herrera",6033,"2012",1289,0.1885,0.0256,0.0659,0.097,0.2095,0.5105
"Tyson Ross",7872,"2012",1288,0.1739,0.0349,0.0536,0.0854,0.2453,0.4922
"Tyler Clippard",5640,"2012",1287,0.1647,0.0598,0.0606,0.0443,0.2152,0.4996
"Matt Belisle",1837,"2012",1274,0.1978,0.0345,0.0777,0.0856,0.2747,0.4152
"Fernando Rodriguez",7558,"2012",1260,0.1556,0.0532,0.0516,0.0508,0.2183,0.5214
"Josh Lindblom",7882,"2012",1241,0.1724,0.0508,0.0443,0.0774,0.2111,0.5214
"Wade Davis",7441,"2012",1235,0.1684,0.0453,0.0421,0.081,0.2211,0.5231
"Grant Balfour",718,"2012",1231,0.1625,0.0447,0.069,0.0487,0.2177,0.5061
"Tim Collins",3164,"2012",1229,0.1432,0.0382,0.0602,0.0448,0.2531,0.5053
"Francisco Rodriguez",1642,"2012",1220,0.1336,0.0295,0.0705,0.0336,0.2459,0.5205
"Luis Ayala",1650,"2012",1212,0.2162,0.0256,0.0536,0.137,0.2063,0.4983
"Joaquin Benoit",1437,"2012",1209,0.1588,0.0438,0.0562,0.0587,0.2117,0.5294
"Vinnie Pestano",4782,"2012",1206,0.1982,0.0473,0.0464,0.1045,0.2289,0.4793
"Aroldis Chapman",10233,"2012",1203,0.192,0.0582,0.0324,0.1014,0.207,0.5104
"Ernesto Frieri",5178,"2012",1198,0.1745,0.0426,0.0576,0.0743,0.2538,0.4716
"Garrett Richards",9784,"2012",1192,0.1711,0.0252,0.0612,0.0847,0.2081,0.5344
"James Russell",4089,"2012",1184,0.1402,0.0287,0.0811,0.0304,0.2356,0.5144
"Shawn Camp",1855,"2012",1184,0.1689,0.0127,0.076,0.0802,0.2314,0.511
"Heath Bell",2080,"2012",1181,0.1592,0.0356,0.0491,0.0745,0.2659,0.4903
"Tom Wilhelmsen",9975,"2012",1180,0.1847,0.0322,0.0763,0.0763,0.2585,0.4483
