"Pitcher","MLBAM_ID","Year","# of total pitches","Total Edge%","Top Edge%","Bottom Edge%","Horizontal Edge%","Heart%","Out of Zone%"
"Eric Stults",8011,"2015",370,0.1703,0.0432,0.0568,0.0703,0.1892,0.5405
"Francisco Liriano",3201,"2015",370,0.1459,0.0108,0.0486,0.0865,0.1676,0.627
"Nick Martinez",12730,"2015",370,0.1946,0.0189,0.0676,0.1081,0.173,0.5459
"J.A. Happ",7410,"2015",369,0.1897,0.019,0.0623,0.1084,0.2276,0.5014
"Dan Haren",1757,"2015",368,0.1875,0.038,0.0734,0.0761,0.2038,0.4973
"Jeff Locke",2929,"2015",368,0.1957,0.0163,0.0435,0.1359,0.1739,0.5707
"Brandon McCarthy",4662,"2015",367,0.1717,0.0518,0.0627,0.0572,0.2343,0.4796
"Tim Hudson",921,"2015",367,0.158,0.0163,0.0708,0.0708,0.1989,0.5559
"Ryan Vogelsong",1011,"2015",367,0.1717,0.0327,0.0681,0.0708,0.2125,0.515
"Michael Wacha",14078,"2015",365,0.1671,0.0521,0.0466,0.0685,0.2493,0.4849
"Mat Latos",3815,"2015",363,0.157,0.0441,0.0551,0.0579,0.259,0.4848
"Mike Fiers",7754,"2015",362,0.1602,0.0304,0.0608,0.0691,0.2376,0.511
"Adam Warren",9029,"2015",360,0.1417,0.0417,0.0722,0.0278,0.2417,0.5028
"Jeremy Guthrie",2072,"2015",360,0.1778,0.0167,0.0722,0.0889,0.2194,0.5139
"Masahiro Tanaka",15764,"2015",358,0.1341,0.0335,0.0587,0.0419,0.2402,0.5335
"Jarred Cosart",10304,"2015",355,0.1352,0.0676,0.0648,0.0028,0.2394,0.493
"John Danks",6329,"2015",352,0.1591,0.0284,0.0511,0.0795,0.2642,0.4972
"John Lackey",1507,"2015",352,0.1278,0.0455,0.0739,0.0085,0.2699,0.483
"Carlos Carrasco",6632,"2015",348,0.1609,0.046,0.0776,0.0374,0.2184,0.4971
"Travis Wood",9884,"2015",348,0.2126,0.0316,0.0345,0.1466,0.2471,0.4741
"Taijuan Walker",11836,"2015",347,0.1758,0.049,0.0317,0.0951,0.2219,0.5216
"Jason Vargas",8044,"2015",347,0.1988,0.0029,0.0663,0.1297,0.1268,0.6052
"Ubaldo Jimenez",3374,"2015",346,0.1474,0.0462,0.0549,0.0462,0.237,0.5145
"Ross Detwiler",2859,"2015",345,0.1971,0.0203,0.058,0.1188,0.1913,0.5333
"Tim Lincecum",5705,"2015",345,0.1391,0.0319,0.0551,0.0522,0.2493,0.5246
"Dillon Gee",7396,"2015",345,0.2203,0.029,0.058,0.1333,0.2493,0.4435
"Aaron Sanchez",11490,"2015",341,0.1701,0.0235,0.0499,0.0968,0.2082,0.5484
"Adam Wainwright",2233,"2015",340,0.1824,0.0235,0.0618,0.0971,0.2353,0.4971
"Bud Norris",9492,"2015",336,0.1935,0.0298,0.0565,0.1071,0.1875,0.5327
"Tyler Matzek",10058,"2015",332,0.1627,0.0241,0.0723,0.0663,0.1687,0.5723
"Jesse Hahn",13287,"2015",332,0.1717,0.0331,0.0602,0.0783,0.2229,0.512
"Archie Bradley",12918,"2015",330,0.1788,0.0152,0.0818,0.0818,0.2242,0.5
"Kyle Hendricks",12049,"2015",330,0.1515,0.0455,0.0667,0.0394,0.2121,0.5242
"Matt Shoemaker",4776,"2015",327,0.1713,0.0275,0.0856,0.0581,0.1957,0.5199
"Trevor May",6398,"2015",321,0.1869,0.0498,0.053,0.0841,0.2181,0.4922
"Jimmy Nelson",10547,"2015",317,0.1514,0.0315,0.0726,0.0473,0.2145,0.53
"Danny Salazar",5867,"2015",316,0.1487,0.0316,0.0475,0.0696,0.2278,0.5443
"Brett Anderson",8223,"2015",312,0.1506,0.0321,0.0769,0.0417,0.2372,0.5032
"Wade Miley",8779,"2015",310,0.1581,0.0194,0.0677,0.071,0.1581,0.5968
"Asher Wojciechowski",10836,"2015",310,0.1677,0.0516,0.0548,0.0613,0.2452,0.4806
"Odrisamer Despaigne",16017,"2015",309,0.1812,0.0388,0.0421,0.1003,0.2783,0.4595
"Zach McAllister",2895,"2015",309,0.1812,0.0518,0.0744,0.055,0.2395,0.4531
"Garrett Richards",9784,"2015",301,0.1993,0.0365,0.0532,0.1096,0.1728,0.5382
"David Phelps",6316,"2015",299,0.1538,0.0301,0.0535,0.0702,0.311,0.4515
"Kendall Graveman",15514,"2015",297,0.1414,0.0236,0.0707,0.0471,0.1953,0.569
"Justin De Fratus",4955,"2015",283,0.1343,0.0212,0.0565,0.0565,0.1731,0.6148
"Jesse Chavez",5448,"2015",282,0.2021,0.0248,0.0603,0.117,0.2021,0.5106
"T.J. House",9121,"2015",277,0.1516,0.0108,0.083,0.0578,0.1552,0.5993
"Anthony Bass",7982,"2015",275,0.2182,0.0509,0.0436,0.1236,0.1927,0.4945
"Trevor Cahill",6249,"2015",264,0.1023,0.0227,0.1061,-0.0265,0.1742,0.5947
"Hisashi Iwakuma",13048,"2015",258,0.1434,0.0349,0.0775,0.031,0.186,0.5581
"Esmil Rogers",6317,"2015",257,0.1362,0.0233,0.0661,0.0467,0.2802,0.4942
"Dustin McGowan",8600,"2015",257,0.1634,0.0389,0.0545,0.07,0.2101,0.5331
"Chris Young",3196,"2015",230,0.1739,0.0478,0.0435,0.0826,0.2,0.5348
"Steve Geltz",8402,"2015",225,0.12,0.0578,0.0489,0.0133,0.2311,0.5422
"George Kontos",9486,"2015",223,0.1928,0.0179,0.0538,0.1211,0.2466,0.4888
"Tony Watson",3132,"2015",222,0.2342,0.018,0.0586,0.1577,0.1667,0.5225
"Dellin Betances",6216,"2015",221,0.1765,0.0407,0.0769,0.0588,0.2081,0.4977
"A.J. Ramos",8350,"2015",221,0.1765,0.0407,0.0588,0.0769,0.1855,0.5385
"Ian Kennedy",6986,"2015",221,0.181,0.0407,0.0452,0.095,0.2172,0.5158
